# mh_vo.csv run at 2023-03-28 01:00:00 EDT on 172 powerflow objects (not all are nodes)
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
nsource,12470.562000,0.000000,12470.562000,4.188790,12470.562000,2.094395
msource,12470.562000,0.000000,12470.562000,4.188790,12470.562000,2.094395
source,12470.562000,0.000000,12470.562000,4.188790,12470.562000,2.094395
n00,12470.567791,0.000006,12470.563387,4.188795,12470.599924,2.094400
nB,12470.567790,0.000006,12470.563385,4.188795,12470.599921,2.094400
nab7,12470.573611,0.000007,12470.561787,4.188795,12470.601791,2.094401
nab8,12470.579431,0.000007,12470.560188,4.188795,12470.603662,2.094401
nab9,12470.585252,0.000008,12470.558590,4.188796,12470.605532,2.094402
nab9_1,12470.589515,0.000008,12470.557169,4.188796,12470.606779,2.094402
nab9_2,12470.589515,0.000008,12470.557168,4.188796,12470.606777,2.094402
nab9_3,12470.589514,0.000008,12470.557168,4.188796,12470.606776,2.094402
nab9_4,12470.589514,0.000008,12470.557167,4.188796,12470.606775,2.094402
mab9_5,479.992167,-0.000062,480.015411,4.188736,480.006558,2.094234
lab9_5,479.992167,-0.000062,480.015411,4.188736,480.006558,2.094234
nab9_6,12470.591072,0.000008,12470.556990,4.188796,12470.607401,2.094403
nab9_7,12470.591072,0.000008,12470.556990,4.188796,12470.607400,2.094403
nab9_8,12470.591072,0.000008,12470.556989,4.188796,12470.607399,2.094403
mab9_9,207.996631,-0.000062,208.006675,4.188736,208.004949,2.094283
lab9_9,207.996631,-0.000062,208.006675,4.188736,208.004949,2.094283
nab9_10,12470.586809,0.000008,12470.558412,4.188796,12470.606156,2.094402
nab9_11,12470.586809,0.000008,12470.558411,4.188796,12470.606155,2.094402
nab9_12,12470.588366,0.000008,12470.558234,4.188796,12470.606778,2.094402
nab9_13,12470.589923,0.000008,12470.558056,4.188796,12470.607402,2.094403
nab9_14,12470.591481,0.000009,12470.557878,4.188796,12470.608025,2.094403
nab9_15,12470.591481,0.000009,12470.557878,4.188796,12470.608025,2.094403
nab9_16,12470.591481,0.000009,12470.557878,4.188796,12470.608025,2.094403
mab9_17,208.009866,0.000009,208.009305,4.188796,208.010142,2.094403
lab9_17,207.996631,-0.000062,208.006675,4.188736,208.004949,2.094283
nab9_18,12470.593038,0.000009,12470.557701,4.188797,12470.608649,2.094403
nab9_19,12470.593038,0.000009,12470.557700,4.188797,12470.608648,2.094403
nab9_20,12470.593038,0.000009,12470.557700,4.188797,12470.608648,2.094403
mab9_21,479.992302,-0.000062,480.015432,4.188736,480.011469,2.094283
lab9_21,479.992302,-0.000062,480.015432,4.188736,480.011469,2.094283
